Cabin Type, Cabin Category, Cabin Base Price, Up To Guests, Sq Ft Total, Balcony Size, Per Person,
Balcony, Aft-Facing Balcony,2476,3, 216 - 426, 40 - 149,769,
Balcony, Balcony,1916,4, 214 - 367, 38 - 108,629,
Balcony, Family Balcony,1996,4, 213 - 234, 38 - 58,649,
Balcony, Guarantee Balcony,1836,4,218,42,609,
Balcony, Solo Balcony, (sold out),1, 214 - 367, 38 - 90, (sold out),
Club Balcony Suite, Club Balcony Suite,2156,4, 249 - 361, 42 - 101,689,
Club Balcony Suite, Club Balcony Suite with Larger Balcony,2476,4, 329 - 439, 102 - 140,769,
Club Balcony Suite, Family Club Balcony Suite,2236,4,249,42,709,
Inside, Family Inside,1156,4,135, N/A,439,
Inside, Guarantee Inside,956,4,135, N/A,389,
Inside, Inside,1036,4, 135 - 201, N/A,409,
Inside, Solo Inside, (sold out),1, 135 - 201, N/A, (sold out),
Oceanview, Family Oceanview,1796,5, 240 - 372, N/A,599,
Oceanview, Guarantee Oceanview,1396,2,160, N/A,499,
Oceanview, Oceanview with Picture Window,1476,2, 160 - 245, N/A,519,
Oceanview, Solo Oceanview, (sold out),1, 160 - 245, N/A, (sold out),
Suite, Family Suite,3516,6, 512 - 562,45,1029,
Suite, Penthouse Suite with Balcony,4236,3, 339 - 342, 65 - 68,1209,
The Haven, The Haven 2-Bedroom Family Villa with Balcony,12276,6,538,43,3219,
The Haven, The Haven 2-Bedroom Family Villa with Large Balcony,12796,6,622,127,3349,
The Haven, The Haven Aft-Facing Penthouse with Balcony,8476,4, 571 - 595, 151 - 175,2269,
The Haven, The Haven Aft-Facing Penthouse with Large Balcony,8596,4, 619 - 668, 199 - 248,2299,
The Haven, The Haven Courtyard Penthouse with Balcony,7836,3,324,54,2109,
The Haven, The Haven Courtyard Penthouse with Large Balcony,8636,3, 374 - 620, 43 - 146,2309,
The Haven, The Haven Family Villa Suite with Balcony,7756,5,501,84,2089,
The Haven, The Haven Forward-Facing Penthouse with Balcony,7676,4, 415 - 466, 27 - 46,2069,
The Haven, The Haven Penthouse Suite with Balcony,7476,3, 436 - 449, 84 - 97,2019,
The Haven, The Haven Premier Owner's Suite with Large Balcony, (sold out),8,2130,516, (sold out),
The Haven, The Haven Suite with Balcony,7396,4,381,61,1999,
,,,,,,,259
,,,,,,,259
,,,,,,,1036
